Composition,Eg,class,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (?),avg_Covalent radius (?),avg_Zunger radius (?),avg_Ionic radius (?),avg_Crystal radius (?),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g?K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m?K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (?),diff_Covalent radius (?),diff_Zunger radius (?),diff_Ionic radius (?),diff_Crystal radius (?),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g?K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m?K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (?),max_Covalent radius (?),max_Zunger radius (?),max_Ionic radius (?),max_Crystal radius (?),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g?K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m?K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (?),min_Covalent radius (?),min_Zunger radius (?),min_Ionic radius (?),min_Crystal radius (?),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g?K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m?K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV),
Al2Ru,0,0,23.33333333,51.67769267,3.666666667,11.33333333,4.666666667,1.333333333,67.33333333,1.266666667,1.203333333,1.985,1.266666667,0.626666667,1.806666667,1.75,3.5714,3.653333333,1.588666667,3.926666667,4.666666667,1.666666667,0.666666667,2.333333333,2.333333333,622,8.733333333,1483.15,3217.816667,5.933333333,0.679333333,15.19333333,393.9333333,197,431.6666667,4.506666667,31,74.088461,2,5,1,1,17,0.05,0.07,0.93,0.05,0.29,0.59,0.33,0.1431,1.27,0.073,2.78,5,1,1,7,2,132,1.3,1650,1433,9.7,0.662,13.21,301.6,120,317,3.35,44,101.07,5,13,5,2,73,1.3,1.25,2.605,1.3,0.82,2.2,1.97,3.6668,4.5,1.613,5.78,8,2,1,7,3,710,9.6,2583.15,4173.15,12.4,0.9,24,595,237,643,6.74,13,26.981539,3,8,4,1,56,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.54,3,3,1,0,0,1,578,8.3,933.15,2740.15,2.7,0.238,10.79,293.4,117,326,3.39,
Al2S3,4.1,1,14.8,30.0322156,3,14.8,6.2,1,82,1.1,1.084,1.33,1.1,0.47,2.192,2.246,4.91696,5.024,2.1986,2.4,4.8,2,2.8,0,4.8,831.2,5.06,604.83,1526.77,2.322,0.786,5.3465,123.24,94.9614,297.8,3.066,3,5.084461,0,3,2,0,15,0.25,0.16,0.575,0.25,0.1,0.97,1.01,2.3221,2.99,0.976,1,3,0,3,0,3,422,5.4,547.2,2022.3,0.63,0.19,9.0725,283.6,236.731,47,0.54,16,32.066,3,16,7,1,88,1.25,1.18,1.675,1.25,0.53,2.58,2.65,5.8458,6.22,2.589,3,6,2,4,0,6,1000,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237,326,3.39,13,26.981539,3,13,5,1,73,1,1.02,1.1,1,0.43,1.61,1.64,3.5237,3.23,1.613,2,3,2,1,0,3,578,2.9,385.95,717.85,2.07,0.71,1.7175,9.8,0.269,279,2.85,
Al2Se3,3.1,1,25.6,58.1686156,3.6,14.8,6.2,1,82.6,1.19,1.168,1.441,1.19,0.548,2.174,2.18,4.86608,4.826,2.1056,2.4,4.8,2,2.8,0,4.8,795.8,5.6,667.35,1670.95,3.954,0.552,8.3324,139.98,96.024,266.6,2.832,21,51.978461,1,3,2,0,16,0.1,0.02,0.39,0.1,0.03,0.94,0.9,2.2373,2.66,0.821,1,3,0,3,0,3,363,4.5,443,1782,2.09,0.58,4.096,255.7,234.96,99,0.93,34,78.96,4,16,7,1,89,1.25,1.18,1.675,1.25,0.56,2.55,2.54,5.761,5.89,2.434,3,6,2,4,0,6,941,8.3,933.15,2740.15,4.79,0.9,10.79,293.4,237,326,3.39,13,26.981539,3,13,5,1,73,1.15,1.16,1.285,1.15,0.53,1.61,1.64,3.5237,3.23,1.613,2,3,2,1,0,3,578,3.8,490.15,958.15,2.7,0.32,6.694,37.7,2.04,227,2.46,
Al2Te3,2.2,1,36.4,87.3526156,4.2,14.8,5.6,1,83.2,1.34,1.288,1.672,1.34,0.878,1.904,2.084,4.67456,4.586,1.94,2.4,4.8,2,2.8,6,2.4,752.6,6.62,806.85,1853.83,4.824,0.48,14.81,148.89,96.21,248.6,2.67,39,100.618461,2,3,1,0,17,0.15,0.18,0.005,0.15,0.58,0.49,0.74,1.9181,2.26,0.545,1,3,0,3,10,1,291,2.8,210.5,1477.2,3.54,0.7,6.7,240.85,234.65,129,1.2,52,127.6,5,16,6,1,90,1.4,1.36,1.675,1.4,1.11,2.1,2.38,5.4418,5.49,2.158,3,6,2,4,10,3,869,8.3,933.15,2740.15,6.24,0.9,17.49,293.4,237,326,3.39,13,26.981539,3,13,5,1,73,1.25,1.18,1.67,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,2,3,2,1,0,2,578,5.5,722.65,1262.95,2.7,0.2,10.79,52.55,2.35,197,2.19,
Al3Tc,0,0,20.5,44.71295425,3.5,11.5,4.75,1.25,68,1.275,1.2025,1.91875,1.275,0.595,1.6825,1.775,3.545175,3.4225,1.58725,3.695,4,2,0.75,1.25,2.75,609,9.075,1311.15,3342.65,4.9,0.7275,14.0925,385.05,190.4,413.75,4.255,30,70.925661,2,6,1,1,20,0.1,0.09,0.975,0.1,0.26,0.29,0.54,0.0859,0.77,0.103,2.78,4,0,1,5,1,124,3.1,1512,2410,8.8,0.69,13.21,366.6,186.4,351,3.46,43,97.9072,5,13,5,2,73,1.35,1.27,2.65,1.35,0.79,1.9,2.18,3.6096,4,1.613,5.78,7,2,1,5,3,702,11.4,2445.15,5150.15,11.5,0.9,24,660,237,677,6.85,13,26.981539,3,7,4,1,53,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.51,3,3,2,0,0,2,578,8.3,933.15,2740.15,2.7,0.21,10.79,293.4,50.6,326,3.39,
Al4Cu2O7,0,0,12.76923077,26.69338123,2.615384615,14.30769231,5.923076923,1.153846154,79.15384615,0.915384615,0.936153846,1.079615385,0.915384615,0.923846154,2.64,2.458461538,6.154946154,5.743076923,2.724769231,1.76,5.846153846,1.846153846,2.461538462,1.538461538,4.307692308,1000,4.011615385,525.2423077,1328.611538,2.210000769,0.830769231,5.447548462,138.3130231,134.6297831,286.3846154,2.990769231,21,47.5466,2,5,3,1,23,0.75,0.45,1.575,0.75,0.68,1.83,2.24,4.8466,4.31,1.997,5.44,8,1,4,10,5,736,7.507,1301.4,2750,8.95857,0.54,12.82741,296.8901,400.97326,89,0.87,29,63.546,4,16,7,2,87,1.35,1.18,2.04,1.35,1.21,3.44,3.32,8.3703,7.54,3.61,5.44,11,2,4,10,6,1314,8.3,1356.15,2840.15,8.96,0.92,13.05,300.3,401,338,3.49,8,15.9994,2,11,4,1,64,0.6,0.73,0.465,0.6,0.53,1.61,1.08,3.5237,3.23,1.613,0,3,1,0,0,1,578,0.793,54.75,90.15,0.00143,0.38,0.22259,3.4099,0.02674,249,2.62,
Al4Cu9,0,0,24.07692308,52.29539662,3.692307692,11.61538462,4.307692308,1.692307692,66.76923077,1.319230769,1.173076923,1.927692308,1.319230769,0.654615385,1.810769231,1.252307692,3.620623077,4.095384615,1.777076923,4.689230769,8.538461538,1.307692308,0.307692308,6.923076923,1.615384615,693.6153846,7.192307692,1225.996154,2809.380769,7.033846154,0.54,12.35461538,298.1769231,350.5384615,334.3076923,3.459230769,16,36.564461,1,2,1,1,9,0.1,0.01,0.365,0.1,0.18,0.29,0.56,0.14,1.25,0.237,2.44,8,1,1,10,2,167,1.6,423,100,6.26,0.52,2.26,6.9,164,12,0.1,29,63.546,4,13,5,2,73,1.35,1.18,2.04,1.35,0.71,1.9,1.64,3.6637,4.48,1.85,5.44,11,2,1,10,3,745,8.3,1356.15,2840.15,8.96,0.9,13.05,300.3,401,338,3.49,13,26.981539,3,11,4,1,64,1.25,1.17,1.675,1.25,0.53,1.61,1.08,3.5237,3.23,1.613,3,3,1,0,0,1,578,6.7,933.15,2740.15,2.7,0.38,10.79,293.4,237,326,3.39,
Al5Rh2,0,0,22.14285714,48.67409929,3.571428571,11.85714286,4.714285714,1.285714286,69,1.278571429,1.2,1.916428571,1.278571429,0.61,1.801428571,1.74,3.581557143,3.535714286,1.597857143,3.794285714,4.714285714,1.714285714,0.714285714,2.285714286,2.428571429,618.5714286,8.385714286,1306.292857,3100.15,5.471428571,0.712,13.85,350.4285714,212.1428571,391.7142857,4.064285714,32,75.923961,2,4,1,1,14,0.1,0.07,0.845,0.1,0.28,0.67,0.35,0.2025,1.07,0.053,2.78,6,1,1,8,2,142,0.3,1306,1260,9.7,0.658,10.71,199.6,87,230,2.36,45,102.9055,5,13,5,2,73,1.35,1.25,2.52,1.35,0.81,2.28,1.99,3.7262,4.3,1.613,5.78,9,2,1,8,3,720,8.6,2239.15,4000.15,12.4,0.9,21.5,493,237,556,5.75,13,26.981539,3,9,4,1,59,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.56,3,3,1,0,0,1,578,8.3,933.15,2740.15,2.7,0.242,10.79,293.4,150,326,3.39,
Al6Fe,0,0,14.85714286,31.10517629,3.142857143,12.28571429,4.857142857,1.142857143,70.42857143,1.271428571,1.178571429,1.737142857,1.271428571,0.552857143,1.641428571,1.644285714,3.508742857,3.348571429,1.639714286,3.397142857,3.714285714,2,0.857142857,0.857142857,2.857142857,604.2857143,8.314285714,1058.15,2780.578571,3.437142857,0.834285714,11.22,301.4285714,214.6,339.1428571,3.517142857,13,28.865461,1,5,1,1,18,0.15,0.01,0.435,0.15,0.16,0.22,0.03,0.1047,0.83,0.187,2.78,5,0,1,6,1,184,0.1,875,283,5.16,0.46,3.01,56.2,156.8,92,0.89,26,55.847,4,13,5,2,73,1.4,1.18,2.11,1.4,0.69,1.83,1.67,3.5237,4.06,1.8,5.78,8,2,1,6,3,762,8.4,1808.15,3023.15,7.86,0.9,13.8,349.6,237,418,4.28,13,26.981539,3,8,4,1,55,1.25,1.17,1.675,1.25,0.53,1.61,1.64,3.419,3.23,1.613,3,3,2,0,0,2,578,8.3,933.15,2740.15,2.7,0.44,10.79,293.4,80.2,326,3.39,
Al6Ru,0,0,17.42857143,37.56560486,3.285714286,12.28571429,4.857142857,1.142857143,70.57142857,1.257142857,1.19,1.807857143,1.257142857,0.571428571,1.694285714,1.687142857,3.544142857,3.411428571,1.602571429,3.397142857,3.714285714,1.857142857,0.857142857,1,2.714285714,596.8571429,8.485714286,1168.864286,2944.864286,4.085714286,0.805428571,12.67714286,336.4857143,219.8571429,371.2857143,3.868571429,31,74.088461,2,5,1,1,17,0.05,0.07,0.93,0.05,0.29,0.59,0.33,0.1431,1.27,0.073,2.78,5,1,1,7,2,132,1.3,1650,1433,9.7,0.662,13.21,301.6,120,317,3.35,44,101.07,5,13,5,2,73,1.3,1.25,2.605,1.3,0.82,2.2,1.97,3.6668,4.5,1.613,5.78,8,2,1,7,3,710,9.6,2583.15,4173.15,12.4,0.9,24,595,237,643,6.74,13,26.981539,3,8,4,1,56,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.54,3,3,1,0,0,1,578,8.3,933.15,2740.15,2.7,0.238,10.79,293.4,117,326,3.39,
Al6Tc,0,0,17.28571429,37.11377629,3.285714286,12.14285714,4.857142857,1.142857143,70.14285714,1.264285714,1.192857143,1.814285714,1.264285714,0.567142857,1.651428571,1.717142857,3.535971429,3.34,1.598285714,3.397142857,3.571428571,2,0.857142857,0.714285714,2.857142857,595.7142857,8.742857143,1149.15,3084.435714,3.957142857,0.801428571,12.67714286,345.7714286,210.3714286,376.1428571,3.884285714,30,70.925661,2,6,1,1,20,0.1,0.09,0.975,0.1,0.26,0.29,0.54,0.0859,0.77,0.103,2.78,4,0,1,5,1,124,3.1,1512,2410,8.8,0.69,13.21,366.6,186.4,351,3.46,43,97.9072,5,13,5,2,73,1.35,1.27,2.65,1.35,0.79,1.9,2.18,3.6096,4,1.613,5.78,7,2,1,5,3,702,11.4,2445.15,5150.15,11.5,0.9,24,660,237,677,6.85,13,26.981539,3,7,4,1,53,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.51,3,3,2,0,0,2,578,8.3,933.15,2740.15,2.7,0.21,10.79,293.4,50.6,326,3.39,
Al7C3N3,0,0,10,20.53261485,2.538461538,13.69230769,5.923076923,1,76,0.984615385,0.986153846,1.174230769,0.984615385,0.421538462,2.156923077,2.087692308,4.783838462,4.870769231,2.163153846,3.230769231,3.692307692,2,1.692307692,0,3.692307692,885.3846154,5.138461538,1357.096154,2670.273077,1.973365385,0.888461538,30.12393846,240.7368,157.3906108,450.1538462,4.661538462,7,14.970539,1,2,2,0,9,0.6,0.43,1.135,0.6,0.24,1.43,1.21,3.3597,4.07,1.453,1,2,0,2,0,2,824,7.2,3576.9,5022.8,2.69875,0.33,104.6396,353.0072,236.97402,391,3.98,13,26.981539,3,15,7,1,82,1.25,1.18,1.675,1.25,0.53,3.04,2.85,6.8834,7.3,3.066,4,5,2,3,0,5,1402,8.3,3640.15,5100.15,2.7,1.04,105,355.8,237,717,7.37,6,12.011,2,13,5,1,73,0.65,0.75,0.54,0.65,0.29,1.61,1.64,3.5237,3.23,1.613,3,3,2,1,0,3,578,1.1,63.25,77.35,0.00125,0.71,0.3604,2.7928,0.02598,326,3.39,
Al9Co2,0,0,15.54545455,32.79093191,3.181818182,12.27272727,4.818181818,1.181818182,70.27272727,1.268181818,1.176363636,1.737727273,1.268181818,0.531818182,1.659090909,1.654545455,3.518954545,3.424545455,1.654272727,3.505454545,4.090909091,2,0.818181818,1.272727273,2.818181818,611.0909091,8.154545455,1084.968182,2813.422727,3.827272727,0.812727273,11.77181818,308.5090909,212.0909091,344,3.571818182,14,31.951661,1,4,1,1,15,0.1,0.02,0.345,0.1,0.01,0.27,0.08,0.0261,1.07,0.227,2.78,6,0,1,7,1,182,0.8,835,403,6.2,0.48,5.4,83.1,137,99,1,27,58.9332,4,13,5,2,73,1.35,1.18,2.02,1.35,0.54,1.88,1.72,3.5237,4.3,1.84,5.78,9,2,1,7,3,760,8.3,1768.15,3143.15,8.9,0.9,16.19,376.5,237,425,4.39,13,26.981539,3,9,4,1,58,1.25,1.16,1.675,1.25,0.53,1.61,1.64,3.4976,3.23,1.613,3,3,2,0,0,2,578,7.5,933.15,2740.15,2.7,0.42,10.79,293.4,100,326,3.39,
Al9Ir2,0,0,24.63636364,57.02489555,3.545454545,12.27272727,4.818181818,1.181818182,70.63636364,1.268181818,1.196363636,1.848272727,1.268181818,0.573636364,1.717272727,1.681818182,4.234754545,3.624545455,1.625181818,3.505454545,4.090909091,2,0.818181818,1.272727273,2.818181818,632.5454545,8.172727273,1251.331818,3042.513636,6.281818182,0.76,13.57363636,349.8727273,220.6363636,387.6363636,4.035454545,64,165.238461,3,4,1,1,13,0.1,0.09,0.953,0.1,0.24,0.59,0.23,3.9108,2.17,0.067,2.78,6,0,1,7,1,300,0.7,1750,1663,19.7,0.77,15.31,310.6,90,339,3.55,77,192.22,6,13,5,2,73,1.35,1.27,2.628,1.35,0.77,2.2,1.87,7.4345,5.4,1.68,5.78,9,2,1,7,3,878,8.3,2683.15,4403.15,22.4,0.9,26.1,604,237,665,6.94,13,26.981539,3,9,4,1,60,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3,3,2,0,0,2,578,7.6,933.15,2740.15,2.7,0.13,10.79,293.4,147,326,3.39,
Al9Rh2,0,0,18.81818182,40.78589555,3.363636364,12.27272727,4.818181818,1.181818182,70.45454545,1.268181818,1.192727273,1.828636364,1.268181818,0.580909091,1.731818182,1.703636364,3.560518182,3.424545455,1.603363636,3.505454545,4.090909091,1.818181818,0.818181818,1.454545455,2.636363636,603.8181818,8.354545455,1170.604545,2969.240909,4.463636364,0.780363636,12.73727273,329.6909091,221.1818182,367.8181818,3.819090909,32,75.923961,2,4,1,1,14,0.1,0.07,0.845,0.1,0.28,0.67,0.35,0.2025,1.07,0.053,2.78,6,1,1,8,2,142,0.3,1306,1260,9.7,0.658,10.71,199.6,87,230,2.36,45,102.9055,5,13,5,2,73,1.35,1.25,2.52,1.35,0.81,2.28,1.99,3.7262,4.3,1.613,5.78,9,2,1,8,3,720,8.6,2239.15,4000.15,12.4,0.9,21.5,493,237,556,5.75,13,26.981539,3,9,4,1,59,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.56,3,3,1,0,0,1,578,8.3,933.15,2740.15,2.7,0.242,10.79,293.4,150,326,3.39,
AlAs,0,0,23,50.9515645,3.5,14,5.5,1,78.5,1.2,1.19,1.545,1.2,0.625,1.895,1.955,4.34785,4.265,1.912,3,4,2,2,0,4,762.5,6.3,1011.65,1815.15,4.215,0.615,19.245,164.08,143.5,314,3.175,20,47.940051,1,2,1,0,11,0.1,0.02,0.26,0.1,0.19,0.57,0.63,1.6483,2.07,0.598,0,2,0,2,0,2,369,4,157,1850,3.03,0.57,16.91,258.64,187,24,0.43,33,74.92159,4,15,6,1,84,1.25,1.2,1.675,1.25,0.72,2.18,2.27,5.172,5.3,2.211,3,5,2,3,0,5,947,8.3,1090.15,2740.15,5.73,0.9,27.7,293.4,237,326,3.39,13,26.981539,3,13,5,1,73,1.15,1.18,1.415,1.15,0.53,1.61,1.64,3.5237,3.23,1.613,3,3,2,1,0,3,578,4.3,933.15,890.15,2.7,0.33,10.79,34.76,50,302,2.96,
AlB12,2.2,1,5.615384615,12.05488762,2.076923077,13,5.923076923,1,72.07692308,0.880769231,0.847692308,0.862692308,0.880769231,0.271538462,2.006923077,1.88,4.512684615,4.208461538,2.017307692,3,3,2,1,0,3,783.8461538,3.407692308,2242.996154,2816.765385,2.367692308,1.010769231,47.16846154,474.6,43.15384615,554,5.623846154,8,16.170539,1,0,1,0,1,0.4,0.36,0.88,0.4,0.28,0.43,0.26,1.0714,1.06,0.438,0,0,0,0,0,0,223,5.3,1419,83,0.36,0.12,39.41,196.3,210,247,2.42,13,26.981539,3,13,6,1,73,1.25,1.18,1.675,1.25,0.53,2.04,1.9,4.5951,4.29,2.051,3,3,2,1,0,3,801,8.3,2352.15,2823.15,2.7,1.02,50.2,489.7,237,573,5.81,5,10.811,2,13,5,1,72,0.85,0.82,0.795,0.85,0.25,1.61,1.64,3.5237,3.23,1.613,3,3,2,1,0,3,578,3,933.15,2740.15,2.34,0.9,10.79,293.4,27,326,3.39,
AlB2,0,0,7.666666667,16.20117967,2.333333333,13,5.666666667,1,72.33333333,0.983333333,0.94,1.088333333,0.983333333,0.343333333,1.896666667,1.813333333,4.237966667,3.936666667,1.905,3,3,2,1,0,3,726.6666667,4.766666667,1879.15,2795.483333,2.46,0.98,37.06333333,424.2666667,97,490.6666667,5.003333333,8,16.170539,1,0,1,0,1,0.4,0.36,0.88,0.4,0.28,0.43,0.26,1.0714,1.06,0.438,0,0,0,0,0,0,223,5.3,1419,83,0.36,0.12,39.41,196.3,210,247,2.42,13,26.981539,3,13,6,1,73,1.25,1.18,1.675,1.25,0.53,2.04,1.9,4.5951,4.29,2.051,3,3,2,1,0,3,801,8.3,2352.15,2823.15,2.7,1.02,50.2,489.7,237,573,5.81,5,10.811,2,13,5,1,72,0.85,0.82,0.795,0.85,0.25,1.61,1.64,3.5237,3.23,1.613,3,3,2,1,0,3,578,3,933.15,2740.15,2.34,0.9,10.79,293.4,27,326,3.39,
AlCoO3,0,0,12.8,26.7825878,2.6,14,6,1.2,78.4,0.88,0.906,1.018,0.88,0.94,2.762,2.664,6.42644,6.03,2.8566,1.756,6,2,2.6,1.4,4.6,1056,3.6358,573.11,1230.75,2.320858,0.816,5.529554,136.02594,67.416044,299.6,3.128,19,42.9338,2,7,3,1,29,0.75,0.45,1.555,0.75,0.68,1.83,1.68,4.8727,4.31,1.997,5.78,6,0,4,7,4,736,7.507,1713.4,3053,8.89857,0.5,15.96741,373.0901,236.97326,176,1.77,27,58.9332,4,16,7,2,87,1.35,1.18,2.02,1.35,1.21,3.44,3.32,8.3703,7.54,3.61,5.78,9,2,4,7,6,1314,8.3,1768.15,3143.15,8.9,0.92,16.19,376.5,237,425,4.39,8,15.9994,2,9,4,1,58,0.6,0.73,0.465,0.6,0.53,1.61,1.64,3.4976,3.23,1.613,0,3,2,0,0,2,578,0.793,54.75,90.15,0.00143,0.42,0.22259,3.4099,0.02674,249,2.62,
AlCu3,0,0,25,54.40488475,3.75,11.5,4.25,1.75,66.25,1.325,1.1725,1.94875,1.325,0.665,1.8275,1.22,3.6287,4.1675,1.79075,4.83,9,1.25,0.25,7.5,1.5,703.25,7.1,1250.4,2815.15,7.395,0.51,12.485,298.575,360,335,3.465,16,36.564461,1,2,1,1,9,0.1,0.01,0.365,0.1,0.18,0.29,0.56,0.14,1.25,0.237,2.44,8,1,1,10,2,167,1.6,423,100,6.26,0.52,2.26,6.9,164,12,0.1,29,63.546,4,13,5,2,73,1.35,1.18,2.04,1.35,0.71,1.9,1.64,3.6637,4.48,1.85,5.44,11,2,1,10,3,745,8.3,1356.15,2840.15,8.96,0.9,13.05,300.3,401,338,3.49,13,26.981539,3,11,4,1,64,1.25,1.17,1.675,1.25,0.53,1.61,1.08,3.5237,3.23,1.613,3,3,1,0,0,1,578,6.7,933.15,2740.15,2.7,0.38,10.79,293.4,237,326,3.39,
AlCu7O12,0,0,15.6,33.18981695,2.75,14.1,5.85,1.35,78.25,0.895,0.9065,1.07675,0.895,1.001,2.8095,2.452,6.48066,6.2535,2.89415,2.054,7.6,1.65,2.45,3.5,4.1,1078.05,3.2358,554.16,1185.15,3.271858,0.73,5.240554,121.82094,152.216044,284,2.963,21,47.5466,2,5,3,1,23,0.75,0.45,1.575,0.75,0.68,1.83,2.24,4.8466,4.31,1.997,5.44,8,1,4,10,5,736,7.507,1301.4,2750,8.95857,0.54,12.82741,296.8901,400.97326,89,0.87,29,63.546,4,16,7,2,87,1.35,1.18,2.04,1.35,1.21,3.44,3.32,8.3703,7.54,3.61,5.44,11,2,4,10,6,1314,8.3,1356.15,2840.15,8.96,0.92,13.05,300.3,401,338,3.49,8,15.9994,2,11,4,1,64,0.6,0.73,0.465,0.6,0.53,1.61,1.08,3.5237,3.23,1.613,0,3,1,0,0,1,578,0.793,54.75,90.15,0.00143,0.38,0.22259,3.4099,0.02674,249,2.62,
AlFe2Si,0,0,19.75,41.69025975,3.5,10.75,4.75,1.5,65.25,1.2875,1.1575,1.82875,1.2875,0.5775,1.7925,1.74,3.636725,4.03,1.78225,4.64,5.75,2,0.75,3,2.75,722.25,7.625,1558.15,2853.65,5.1875,0.6225,22.235,344.205,136.35,403.5,4.145,13,28.865461,1,6,2,1,23,0.3,0.07,0.69,0.3,0.29,0.29,0.34,0.7662,1.54,0.303,2.78,5,0,2,6,2,209,3,875,395,5.53,0.46,39.76,90.82,156.8,126,1.24,26,55.847,4,14,6,2,78,1.4,1.18,2.11,1.4,0.69,1.9,1.98,4.1852,4.77,1.916,5.78,8,2,2,6,4,787,8.4,1808.15,3023.15,7.86,0.9,50.55,384.22,237,452,4.63,13,26.981539,3,8,4,1,55,1.1,1.11,1.42,1.1,0.4,1.61,1.64,3.419,3.23,1.613,3,3,2,0,0,2,578,5.4,933.15,2628.15,2.33,0.44,10.79,293.4,80.2,326,3.39,
AlFe4(CuO4)3,0,0,15,31.65001695,2.75,13.5,5.85,1.35,76.45,0.905,0.9065,1.09075,0.905,0.997,2.7955,2.57,6.43172,6.1695,2.88415,2.122,7,1.85,2.45,2.7,4.3,1081.45,3.5758,644.56,1221.75,3.051858,0.742,5.390554,131.68094,88.056044,300,3.121,21,47.5466,2,8,3,1,32,0.8,0.45,1.645,0.8,0.68,1.83,2.24,4.9513,4.31,1.997,5.78,8,1,4,10,5,736,7.607,1753.4,2933,8.95857,0.54,13.57741,346.1901,400.97326,169,1.66,29,63.546,4,16,7,2,87,1.4,1.18,2.11,1.4,1.21,3.44,3.32,8.3703,7.54,3.61,5.78,11,2,4,10,6,1314,8.4,1808.15,3023.15,8.96,0.92,13.8,349.6,401,418,4.28,8,15.9994,2,8,4,1,55,0.6,0.73,0.465,0.6,0.53,1.61,1.08,3.419,3.23,1.613,0,3,1,0,0,1,578,0.793,54.75,90.15,0.00143,0.38,0.22259,3.4099,0.02674,249,2.62,
AlIr,0,0,45,109.6007695,4.5,11,4.5,1.5,66.5,1.3,1.225,2.1515,1.3,0.65,1.905,1.755,5.4791,4.315,1.6465,4.39,6,2,0.5,3.5,2.5,728,7.95,1808.15,3571.65,12.55,0.515,18.445,448.7,192,495.5,5.165,64,165.238461,3,4,1,1,13,0.1,0.09,0.953,0.1,0.24,0.59,0.23,3.9108,2.17,0.067,2.78,6,0,1,7,1,300,0.7,1750,1663,19.7,0.77,15.31,310.6,90,339,3.55,77,192.22,6,13,5,2,73,1.35,1.27,2.628,1.35,0.77,2.2,1.87,7.4345,5.4,1.68,5.78,9,2,1,7,3,878,8.3,2683.15,4403.15,22.4,0.9,26.1,604,237,665,6.94,13,26.981539,3,9,4,1,60,1.25,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3,3,2,0,0,2,578,7.6,933.15,2740.15,2.7,0.13,10.79,293.4,147,326,3.39,
